iternum,FID
49,261.07251068619126
99,156.0904898557944
149,111.97753500748706
199,84.15639805110956
249,77.95863694070212
299,72.23781215054004
349,69.13193549132265
399,71.90144975786606
449,72.08864404908488
499,67.60546250191874
549,71.33516445983173
599,66.07687852887287
649,65.22553871649774
699,70.23184688380053
749,61.405431179072764
799,74.90867914508334
849,70.82085036844177
899,63.40954584089408
949,65.59932210589534
999,70.70242410236645
1049,64.09956741193011
1099,63.936227335932756
1149,75.49910467176898
1199,82.24723738425143
1249,69.59773945668996
1299,72.73226608109846
1349,83.21012268790798
1399,66.70551724513723
1449,74.44812699879728
1499,71.01628484744703
1549,76.06482859008318
1599,84.57665793194863
1649,62.25972041965963
1699,70.8966529673475
1749,75.90587704205274
1799,71.17701600050614
1849,75.78311272386435
1899,79.84316603194506
1949,68.29625217412573
1999,74.01830051077269
2049,73.4778214892365
2099,74.6018489291464
2149,67.58208811347325
2199,66.92302159286359
2249,69.59372972997477
2299,75.05277752539459
2349,68.89404853359886
2399,83.72756090889936
2449,94.38009516299593
2499,72.18316171469093
2549,72.22249135406958
2599,63.570127567857355
2649,81.29958179858875
2699,82.33940654562954
2749,67.84887754085241
2799,74.59169474008002
2849,72.74908655782326
2899,79.82020243008668
2949,66.38507544639901
2999,77.87659997626739
3049,77.12635916808716
3099,69.6939334072766
3149,66.8676736850374
3199,71.22410283767479
3249,71.6006366870173
3299,64.38466095262564
3349,60.19151183704642
3399,62.68989356259905
3449,62.87302415326741
